DR1107.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,AR1410B.PV,CCSFIC1401.PV,FRCA1112.PV,TIC_1155.PV,FI1112.PV,TI_1147.PV
247.7925,128.385,125.807,1.4127,86.525,189761,2999.5,615.5825,2999.5,683.2625
246.915,127.9688,125.411,1.4128,86.35,189750,3000.5,615.875,3000.5,683.1875
246.96,127.5525,125.004,1.4129,86.55,189750,3000.5,616.1675,3000.5,683.15
245.97,127.1475,124.608,1.4129,86.45,189739,3000.5,616.46,3000.5,683.075
244.035,126.3262,123.794,1.413,86.7,189728,2999.5,617.045,2999.5,682.9625
243.4275,125.91,123.398,1.4131,86.8,189728,2999.5,617.3375,2999.5,682.8875
243.4275,125.91,123.398,1.4131,86.8,189728,2999.5,617.3375,2999.5,682.8875
241.4925,125.0887,122.584,1.4132,86.1,189728,3000.5,617.9225,3000.5,682.775
241.4925,125.0887,122.584,1.4132,86.1,189728,3000.5,617.9225,3000.5,682.775
240.435,124.2675,121.781,1.4134,86.4,189728,2999.5,618.475,2999.5,682.6625
240.03,123.8625,121.385,1.4134,86.225,189728,2999.5,618.7675,2999.5,682.5875
238.8375,123.4462,120.978,1.4134,86.85,189728,3000.5,619.06,3000.5,682.5125
238.8375,123.4462,120.978,1.4134,86.85,189728,3000.5,619.06,3000.5,682.5125
237.5325,122.625,120.175,1.4136,86.85,189728,3000.5,619.6125,3000.5,682.4
236.655,122.22,119.768,1.4136,86.275,189728,2999.5,619.8725,2999.5,682.325
236.655,122.22,119.768,1.4136,86.275,189728,2999.5,619.8725,2999.5,682.325
234.8775,121.3988,118.965,1.4138,86.325,189739,3000.5,620.425,3000.5,682.2125
233.82,120.9825,118.569,1.4138,86.475,189739,3000.5,620.685,3000.5,682.1375
233.82,120.9825,118.569,1.4138,86.475,189739,3000.5,620.685,3000.5,682.1375
233.6175,120.5775,118.162,1.4138,86.05,189750,2999.75,620.9775,2999.75,682.1
232.5825,120.1612,117.766,1.4139,86.45,189750,2999.75,621.2375,2999.75,682.025
231.255,119.7562,117.359,1.4139,86.475,189761,2999.75,621.4975,2999.75,681.95
229.7025,118.935,116.556,1.4141,86.55,189761,2999.75,622.0175,2999.75,681.8375
229.7025,118.935,116.556,1.4141,86.55,189761,2999.75,622.0175,2999.75,681.8375
229.3425,118.5187,116.149,1.4141,86.5,189772,2999.75,622.2775,2999.75,681.7625
228.1275,117.7087,115.346,1.4142,86.675,189783,3000.75,622.7975,3000.75,681.65
227.385,117.2925,114.95,1.4142,86.65,189794,3000.75,623.0575,3000.75,681.575
226.1925,116.8875,114.543,1.4143,86.025,189805,3000.75,623.3175,3000.75,681.5375
226.1925,116.8875,114.543,1.4143,86.025,189805,3000.75,623.3175,3000.75,681.5375
225.3825,116.4712,114.147,1.4144,86.075,189816,2999.75,623.5775,2999.75,681.4625
224.1,115.6612,113.344,1.4145,86.475,189838,3000.0,624.065,3000.0,681.3125
223.065,115.245,112.937,1.4145,86.675,189849,3000.0,624.325,3000.0,681.275
222.3225,114.84,112.541,1.4146,86.575,189860,3000.0,624.5525,3000.0,681.2
222.3225,114.84,112.541,1.4146,86.575,189860,3000.0,624.5525,3000.0,681.2
220.4325,114.0187,111.738,1.4146,86.375,189882,3000.0,625.04,3000.0,681.05
220.4325,114.0187,111.738,1.4146,86.375,189882,3000.0,625.04,3000.0,681.05
219.465,113.6137,111.342,1.4147,86.375,189904,3000.0,625.3,3000.0,681.0125
218.0925,112.7925,110.539,1.4148,86.65,189926,3000.25,625.7875,3000.25,680.8625
217.44,112.3875,110.132,1.4149,86.525,189948,3000.25,626.015,3000.25,680.7875
217.305,111.9712,109.736,1.4149,86.45,189959,3000.25,626.2425,3000.25,680.75
217.305,111.9712,109.736,1.4149,86.45,189959,3000.25,626.2425,3000.25,680.75
215.6625,111.5662,109.329,1.415,86.425,189992,3000.5,626.47,3000.5,680.675
215.145,111.1612,108.933,1.415,86.325,190014,3000.5,626.73,3000.5,680.6
214.0875,110.745,108.537,1.415,86.05,190036,3000.5,626.9575,3000.5,680.525
213.5025,110.34,108.13,1.415,86.175,190058,2999.75,627.185,2999.75,680.4875
211.77,109.5187,107.327,1.4151,86.7,190113,3000.0,627.64,3000.0,680.3375
211.77,109.5187,107.327,1.4151,86.7,190113,3000.0,627.64,3000.0,680.3375
211.3425,109.1137,106.931,1.4152,86.275,190146,3000.0,627.8675,3000.0,680.2625
210.285,108.7087,106.535,1.4152,86.25,190179,3001.0,628.095,3001.0,680.1875
209.0475,107.8875,105.732,1.4154,86.675,190245,3001.25,628.9725,3001.25,680.075
207.8775,107.46,105.314,1.4154,86.55,190267,3000.5,629.59,3000.5,680.0
206.955,107.0325,104.885,1.4154,86.275,190300,3000.5,630.1425,3000.5,679.925
206.3025,106.605,104.467,1.4154,86.0,190366,3001.0,630.6625,3001.0,679.85
206.3025,106.605,104.467,1.4154,86.0,190366,3001.0,630.6625,3001.0,679.85
205.5375,106.0425,103.928,1.4155,86.475,190421,3001.0,631.15,3001.0,679.8125
204.4125,105.4912,103.378,1.4155,86.475,190465,3001.25,631.605,3001.25,679.7375
201.9375,104.3887,102.3,1.4156,86.625,190553,3000.5,632.385,3000.5,679.5875
200.925,103.8375,101.761,1.4156,86.425,190597,3000.5,632.7425,3000.5,679.5125
199.755,103.2862,101.222,1.4157,86.275,190641,3000.5,633.1,3000.5,679.4375
199.1925,102.7462,100.683,1.4157,86.325,190685,3000.5,633.4575,3000.5,679.3625
198.27,102.195,100.155,1.4158,86.25,190718,3000.5,633.7825,3000.5,679.325
196.83,101.6437,99.616,1.4158,86.675,190762,3000.75,634.14,3000.75,679.25
196.2,101.1037,99.077,1.4158,86.1,190795,2999.75,634.4975,2999.75,679.175
194.895,100.5525,98.538,1.4158,86.25,190839,2999.75,634.855,2999.75,679.1
194.895,100.5525,98.538,1.4158,86.25,190839,2999.75,634.855,2999.75,679.1
192.645,99.4613,97.471,1.4159,86.675,190839,3001.0,635.6025,3001.0,678.95
192.645,99.4613,97.471,1.4159,86.675,190916,3001.0,635.6025,3001.0,678.95
190.7325,98.3587,96.393,1.416,86.825,190982,3000.0,636.3175,3000.0,678.8
189.3825,97.8187,95.854,1.4161,86.55,191026,3000.0,636.675,3000.0,678.725
188.7975,97.2675,95.326,1.4161,86.275,191059,3000.25,637.0325,3000.25,678.65
187.425,96.7162,94.787,1.4161,86.575,191092,3000.25,637.39,3000.25,678.575
186.9075,96.1762,94.248,1.4162,86.55,191125,3000.25,637.715,3000.25,678.5
186.0075,95.625,93.709,1.4162,86.125,191169,3000.25,638.0725,3000.25,678.4625
184.005,95.0737,93.181,1.4162,86.875,191202,3000.25,638.3975,3000.25,678.3875
183.105,94.5337,92.642,1.4162,86.1,191235,3000.5,638.7225,3000.5,678.3125
182.07,93.9825,92.103,1.4163,86.025,191268,3000.5,639.0475,3000.5,678.2375
182.07,93.9825,92.103,1.4163,86.025,191268,3000.5,639.0475,3000.5,678.2375
179.7975,92.8913,91.036,1.4163,86.725,191345,3000.5,639.6975,3000.5,678.0875
179.595,92.3512,90.497,1.4164,86.725,191378,3000.5,639.99,3000.5,678.0125
178.695,91.8,89.969,1.4164,86.725,191411,2999.75,640.315,2999.75,677.9375
176.6925,91.26,89.43,1.4165,86.35,191444,2999.75,640.6075,2999.75,677.8625
176.4,90.7087,88.891,1.4165,86.3,191477,2999.75,640.9,2999.75,677.7875
175.23,90.1687,88.363,1.4166,86.75,191521,3000.75,641.225,3000.75,677.7125
173.565,89.6175,87.824,1.4166,86.425,191554,3000.75,641.5175,3000.75,677.6
172.8675,89.0775,87.296,1.4166,86.125,191587,3000.0,641.81,3000.0,677.525
