TIC_1155.MV,PI_1180.PV,PIC1101A.PV,PR1102A.PV,PDR1401.PV,LRCA1101.MV,PDR1103.PV,TI_1145.PV
20.3245,0.2052,15.0674,0.194,12.369,87.6958,9.257,507.62
20.3245,0.2055,15.0663,0.1943,12.366,87.687,9.259,507.74
20.3244,0.2058,15.0652,0.1946,12.365,87.6777,9.262,507.89
20.3243,0.2062,15.0641,0.195,12.364,87.6677,9.268,508.01
20.3242,0.2066,15.063,0.1954,12.362,87.657,9.274,508.16
20.3242,0.207,15.0533,0.1958,12.361,87.6458,9.283,508.28
20.3241,0.2074,15.0519,0.1962,12.359,87.6845,9.293,508.43
20.324,0.2078,15.0505,0.1966,12.359,87.6727,9.303,508.58
20.3239,0.2082,15.0491,0.197,12.356,87.6601,9.315,508.7
20.3239,0.2086,15.0563,0.1974,12.355,87.647,9.327,508.85
20.3238,0.209,15.0552,0.1978,12.355,87.6839,9.339,508.97
20.3237,0.2094,15.0541,0.1982,12.353,87.6702,9.352,509.12
20.3236,0.2097,15.053,0.1985,12.355,87.6558,9.364,509.24
20.3235,0.21,15.0519,0.1988,12.354,87.6914,9.376,509.36
20.3235,0.2102,15.0508,0.1991,12.353,87.6764,9.387,509.51
20.3234,0.2106,15.0497,0.1993,12.352,87.6607,9.398,509.63
20.3233,0.2108,15.0485,0.1996,12.352,87.6951,9.407,509.75
20.3232,0.211,15.0474,0.1998,12.352,87.6789,9.417,509.87
20.3232,0.2112,15.0463,0.2,12.35,87.662,9.426,509.99
20.3231,0.2114,15.0452,0.2002,12.35,87.6951,9.435,510.11
20.323,0.2116,15.0441,0.2004,12.35,87.6776,9.443,510.23
20.3229,0.2118,15.043,0.2006,12.35,87.6595,9.45,510.35
20.3229,0.2119,15.0419,0.2007,12.35,87.6914,9.458,510.47
20.3228,0.2121,15.0408,0.2009,12.348,87.6727,9.464,510.59
20.3227,0.2122,15.0483,0.201,12.348,87.6533,9.471,510.71
20.3226,0.2124,15.0474,0.2012,12.348,87.6839,9.477,510.83
20.3226,0.2124,15.0466,0.2012,12.348,87.7145,9.477,510.83
20.3225,0.2124,15.0458,0.2012,12.348,87.7451,9.477,510.83
20.3224,0.2124,15.0449,0.2012,12.348,87.7758,9.477,510.83
20.3223,0.2126,15.0441,0.2013,12.348,87.7558,9.484,510.92
20.3222,0.2127,15.0433,0.2015,12.349,87.7352,9.49,511.04
20.3222,0.2129,15.0424,0.2017,12.348,87.7645,9.496,511.13
20.3221,0.213,15.0416,0.2018,12.347,87.7433,9.502,511.25
20.322,0.2708,15.0408,0.2601,12.347,87.7214,9.508,511.34
20.3219,0.253,15.0399,0.2421,12.347,88.4582,9.514,511.46
20.3371,0.253,15.0477,0.2421,12.348,88.5458,10.257,511.58
20.3376,0.251,14.8835,0.2401,12.325,87.7732,10.514,511.64
20.338,0.2493,14.6194,0.2384,12.284,85.7251,10.514,511.64
20.3384,0.2466,14.3383,0.2295,12.242,83.6514,10.626,511.64
20.3541,0.2406,14.1088,0.2172,12.166,82.7164,10.632,511.61
20.355,0.2103,13.976,0.199,12.079,82.3776,10.567,511.52
20.3559,0.1894,13.9174,0.1777,12.002,82.0351,10.041,511.37
20.3568,0.1691,13.9441,0.1573,11.95,81.6889,9.559,511.25
20.3577,0.1521,14.033,0.1402,11.93,81.3895,8.994,511.13
20.3586,0.1521,14.1516,0.1254,11.933,81.1376,8.418,511.07
20.3595,0.1373,14.2749,0.1144,11.958,80.8832,7.856,511.01
20.3452,0.1264,14.3858,0.1068,11.997,80.6264,7.36,511.01
20.3456,0.1188,14.4663,0.1068,12.039,80.4176,6.951,511.04
20.346,0.1138,14.5241,0.102,12.078,80.207,6.633,511.07
0.0,0.1114,14.5583,0.0994,12.112,0.0,6.395,511.16
0.0,0.1102,14.5852,0.0983,12.136,0.0,6.395,511.25
0.0,1.409,14.596,0.1213,12.151,0.0,6.21,511.37
0.0,1.409,14.5988,0.0807,12.16,0.0,6.397,511.52
0.0,1.4093,14.6019,0.0592,12.166,0.0,4.961,511.7
0.0,1.4094,14.5449,0.0375,12.147,0.0,4.501,511.76
0.0,1.4095,14.4691,0.0224,12.119,0.0,3.553,511.82
0.0,1.4096,14.3824,0.0142,12.089,0.0,2.677,511.85
0.0,1.4097,14.2847,0.0142,12.043,0.0,2.056,511.88
0.0,1.4098,14.1583,0.0104,11.989,0.0,1.68,511.88
0.0,1.4098,14.0024,0.0089,11.93,0.0,1.68,511.85
0.0,1.4099,13.8508,0.0092,11.864,0.0,1.487,511.85
0.0,1.4101,13.6863,0.0098,11.793,0.0,1.422,511.85
0.0,1.4102,13.5347,0.0106,11.716,0.0,1.399,511.85
