DR1107.PV,WRA1103.PV,WR1104.PV,FI1111.PV,FRCA1111.PV,CCSFIC1401.PV,TIC_1155.PV,AR1410B.PV,TRC1118A.PV,TI1118A.PV
284.22,147.06,144.122,5006.9199,5006.9199,186835,598.715,86.975,679.95,679.95
283.635,146.925,143.979,5011.2197,5011.2197,187198,599.0075,86.575,679.95,679.95
282.69,146.6438,143.715,5014.6597,5014.6597,187517,599.3,86.625,679.9,679.9
282.6,146.4413,143.517,5016.3799,5016.3799,187891,599.6575,86.975,679.85,679.85
282.555,146.1263,143.209,5018.1001,5018.1001,188243,600.015,86.825,679.85,679.85
282.555,146.1263,143.209,5018.1001,5018.1001,188243,600.015,86.825,679.85,679.85
281.565,145.575,142.67,5019.8198,5019.8198,188903,600.8275,86.425,679.75,679.75
281.565,144.9563,142.67,5019.8198,5019.8198,188903,600.8275,86.425,679.75,679.75
280.035,144.9563,142.054,5018.1001,5018.1001,189497,601.64,86.825,679.7,679.7
279.63,144.6975,141.801,5018.1001,5018.1001,189772,602.0625,86.65,679.65,679.65
279.63,144.6975,141.801,5018.1001,5018.1001,189772,602.0625,86.65,679.65,679.65
278.865,144.315,141.427,5014.6597,5014.6597,189926,602.4525,86.275,679.6,679.6
277.785,144.0788,141.196,5013.7998,5013.7998,190135,602.875,86.475,679.55,679.55
277.7625,143.6625,140.789,5012.0801,5012.0801,190300,603.265,86.8,679.5,679.5
275.5125,142.83,139.975,5008.6396,5008.6396,190531,604.0125,86.025,679.4,679.4
275.5125,142.83,139.975,5008.6396,5008.6396,190531,604.0125,86.025,679.4,679.4
274.41,141.9975,139.15,5005.1997,5005.1997,190630,604.7275,86.775,679.3,679.3
274.41,141.9975,139.15,5005.1997,5005.1997,190630,604.7275,86.775,679.3,679.3
273.33,141.165,138.743,5003.48,5003.48,190652,605.4425,86.85,679.2,679.2
272.295,140.7487,137.929,5001.7598,5001.7598,190619,605.8,86.15,679.15,679.15
271.485,139.9162,137.533,5000.04,5000.04,190575,606.1575,86.35,679.1,679.1
270.1575,139.9162,137.126,4999.1797,4999.1797,190520,606.515,86.225,679.05,679.05
269.3925,139.5112,136.719,4998.3198,4998.3198,190465,606.84,86.65,679.0,679.0
269.055,139.095,136.312,4997.46,4997.46,190410,607.1975,86.05,678.95,678.95
269.055,139.095,136.312,4997.46,4997.46,190410,607.1975,86.05,678.95,678.95
267.3,138.2737,135.498,4996.6001,4996.6001,190300,607.88,86.7,678.85,678.85
265.905,137.8575,135.102,4995.7397,4995.7397,190245,608.205,86.925,678.8,678.8
265.14,137.4413,134.695,4996.6001,4996.6001,190190,608.5625,86.9,678.75,678.75
265.14,137.4413,134.695,4996.6001,4996.6001,190190,608.5625,86.9,678.75,678.75
264.8475,137.025,134.288,4995.7397,4995.7397,190146,608.8875,86.825,678.7,678.7
264.0825,136.62,133.881,4995.7397,4995.7397,190113,609.2125,86.925,678.65,678.65
262.5975,135.7875,133.078,4995.7397,4995.7397,190036,609.895,86.5,678.55,678.55
262.5975,135.7875,133.078,4995.7397,4995.7397,190036,609.895,86.5,678.55,678.55
261.0225,134.9662,132.264,4996.6001,4996.6001,189981,610.545,86.3,678.45,678.45
261.0225,134.9662,132.264,4996.6001,4996.6001,189981,610.545,86.3,678.45,678.45
259.7175,134.55,131.868,4997.46,4997.46,189959,610.87,86.25,678.4,678.4
259.47,134.145,131.461,4997.46,4997.46,189948,611.195,86.975,678.35,678.35
257.9625,133.7287,131.054,4997.46,4997.46,189926,611.52,86.275,678.3,678.3
257.31,133.3237,130.658,4997.46,4997.46,189915,611.845,86.65,678.25,678.25
255.8025,132.4912,129.844,4997.46,4997.46,189882,612.495,86.625,678.15,678.15
255.8025,132.4912,129.844,4997.46,4997.46,189882,612.495,86.625,678.15,678.15
255.0375,132.0862,129.437,4997.46,4997.46,189871,612.7875,86.725,678.1,678.1
253.3725,131.265,128.634,4998.3198,4998.3198,189838,613.4375,86.425,678.0,678.0
253.3725,131.265,128.634,4998.3198,4998.3198,189838,613.4375,86.425,678.0,678.0
251.865,130.4325,127.831,4998.3198,4998.3198,189816,614.055,86.575,677.85,677.85
251.3475,130.0275,127.424,4998.3198,4998.3198,189805,614.3475,86.425,677.8,677.8
251.3475,130.0275,127.424,4998.3198,4998.3198,189805,614.3475,86.425,677.8,677.8
250.4925,129.6113,127.017,4998.3198,4998.3198,189794,614.6725,86.225,677.75,677.75
