TI_1145.PV,PIC1101A.PV,PDR1401.PV,LRCA1101.MV,LRCA1101.PV,TI1105A.PV,TIC_1101.PV,PDR1103.PV
496.04,15.0388,12.367,80.7239,33.265,555.24,534.87,9.603
496.13,15.0393,12.367,80.757,33.265,555.28,534.84,9.606
496.16,15.0399,12.367,80.7395,33.26,555.24,534.87,9.609
496.16,15.0404,12.367,80.772,33.26,555.24,534.84,9.609
496.19,15.041,12.367,80.8045,33.26,555.24,534.81,9.611
496.28,15.0415,12.366,80.7864,33.255,555.2,534.78,9.616
496.28,15.0421,12.366,80.8182,33.255,555.2,534.75,9.616
496.37,15.034,12.367,80.7995,33.25,555.16,534.75,9.62
496.4,15.0343,12.367,80.7801,33.245,555.16,534.75,9.622
496.4,15.0346,12.367,80.8108,33.245,555.16,534.78,9.622
496.46,15.0349,12.364,80.7907,33.24,555.16,534.75,9.625
496.52,15.0352,12.364,80.8207,33.24,555.16,534.81,9.623
496.55,15.044,12.364,80.8001,33.235,555.2,534.87,9.621
496.58,15.0446,12.364,80.7789,33.23,555.24,534.93,9.619
496.61,15.0365,12.365,80.8076,33.23,555.32,535.02,9.616
496.67,15.0368,12.366,80.7857,33.225,555.44,535.11,9.613
496.7,15.0371,12.365,80.8139,33.225,555.52,535.2,9.61
496.73,15.0374,12.364,80.842,33.225,555.6,535.26,9.607
496.76,15.0377,12.364,80.8195,33.22,555.68,535.35,9.605
496.82,15.0379,12.363,80.847,33.22,555.76,535.44,9.603
496.85,15.0382,12.363,80.8745,33.22,555.84,535.53,9.602
496.88,15.0385,12.363,80.8514,33.215,555.96,535.65,9.602
496.94,15.0302,12.363,80.8782,33.215,556.08,535.71,9.601
496.97,15.0302,12.362,80.9051,33.215,556.12,535.74,9.601
497.0,15.0302,12.362,80.932,33.215,556.16,535.83,9.601
497.06,15.0302,12.361,80.9082,33.21,556.28,535.89,9.6
497.09,15.0302,12.36,80.9345,33.21,556.32,535.95,9.6
497.15,15.0302,12.36,80.9607,33.21,556.4,535.98,9.6
497.18,15.0302,12.36,80.987,33.21,556.4,535.98,9.6
497.21,15.0302,12.36,81.0133,33.21,556.44,536.04,9.6
497.27,15.0302,12.359,80.9889,33.205,556.48,536.1,9.601
497.3,15.0302,12.359,81.0145,33.205,556.52,536.1,9.601
497.33,15.0302,12.359,81.0401,33.205,556.56,536.13,9.601
497.39,15.0302,12.359,81.0658,33.205,556.56,536.13,9.602
497.42,15.0302,12.358,81.0408,33.2,556.56,536.13,9.602
497.45,15.0302,12.358,81.0658,33.2,556.56,536.1,9.603
497.51,15.0302,12.358,81.0908,33.2,556.56,536.1,9.604
497.54,15.0302,12.358,81.1158,33.2,556.52,536.1,9.605
497.57,15.0215,12.358,81.0901,33.195,556.56,536.1,9.607
497.63,15.0213,12.358,81.1145,33.195,556.52,536.07,9.608
497.66,15.021,12.357,81.1389,33.195,556.52,536.04,9.61
497.69,15.0293,12.355,81.1633,33.195,556.48,536.07,9.612
497.72,15.0293,12.355,81.137,33.19,556.48,536.04,9.613
497.78,15.0293,12.355,81.1608,33.19,556.48,536.1,9.614
497.81,15.0293,12.356,81.1339,33.185,556.56,536.19,9.615
497.84,15.0293,12.356,81.157,33.185,556.64,536.34,9.606
497.9,15.0293,12.356,81.1295,33.18,556.76,536.55,9.596
497.93,15.0293,12.356,81.152,33.18,557.0,536.79,9.585
497.96,15.0293,12.356,81.1745,33.18,557.24,537.0,9.573
497.99,15.0293,12.356,81.197,33.18,557.48,537.24,9.562
