LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.1701,32.995,9.563,4.246,12.302,46.5,26.0285,14.9041,0.1787,0.2087,0.1975,540.24,84.555,85.1325,85.275,82.23,83.4975,82.0875,42.8803,520.44,20.3462,488.93
72.2201,33,9.563,4.241,12.302,46.368,26.001,14.9041,0.1786,0.2089,0.1976,540.28,84.5175,85.1025,85.245,82.29,83.49,82.0875,42.8747,520.47,20.3461,488.93
72.2201,33,9.565,4.235,12.302,46.212,25.957,14.9041,0.1786,0.209,0.1978,540.28,84.4875,85.095,85.215,82.3275,83.4675,82.0575,42.8766,520.44,20.3461,488.93
72.2201,33,9.567,4.226,12.302,46.05,25.8855,14.9041,0.1785,0.2092,0.1979,540.28,84.45,85.125,85.2075,82.3575,83.445,82.065,42.8786,520.41,20.346,488.93
72.2201,33,9.57,4.214,12.302,45.858,25.803,14.9041,0.1784,0.2094,0.1981,540.2,84.4275,85.1025,85.26,82.3875,83.415,82.02,42.8844,520.35,20.3459,488.93
72.2708,33.005,9.575,4.198,12.301,45.606,25.7095,14.9041,0.1784,0.2095,0.1984,540.16,84.48,85.125,85.2825,82.41,83.415,81.9675,42.8905,520.29,20.3458,488.93
72.2714,33.005,9.58,4.183,12.301,45.39,25.583,14.9041,0.1782,0.2098,0.1986,540.12,84.5175,85.1175,85.275,82.38,83.43,81.9375,42.9006,520.2,20.3458,488.93
72.2214,33,9.586,4.164,12.301,45.162,25.4565,14.9041,0.178,0.21,0.1988,540,84.5625,85.095,85.2675,82.3275,83.4375,81.975,42.9111,520.11,20.3457,488.96
72.2214,33,9.593,4.141,12.301,45.282,25.33,14.9041,0.1776,0.2098,0.1987,539.92,84.5475,85.0875,85.2825,82.305,83.46,81.96,42.9182,520.05,20.3456,488.96
72.2214,33,9.595,4.104,12.301,45.354,25.308,14.9041,0.1772,0.2098,0.1986,539.84,84.5475,85.0725,85.335,82.305,83.4975,81.915,42.9292,519.96,20.3455,488.96
72.2214,33,9.596,4.073,12.302,45.342,25.319,14.9041,0.1771,0.2099,0.1987,539.76,84.585,85.065,85.3725,82.2975,83.475,81.9075,42.9407,519.87,20.3455,488.96
72.1707,32.995,9.598,4.068,12.302,45.27,25.33,14.9041,0.1773,0.21,0.1987,539.68,84.6,85.11,85.3875,82.29,83.505,81.8925,42.9525,519.78,20.3454,488.96
72.1701,32.995,9.6,4.084,12.302,45.168,25.308,14.9041,0.1776,0.21,0.1988,539.56,84.6075,85.0875,85.4325,82.3275,83.5275,81.945,42.9609,519.72,20.3453,488.93
72.1695,32.995,9.603,4.102,12.302,45.09,25.264,14.9041,0.1778,0.2101,0.1989,539.52,84.615,85.0425,85.425,82.3575,83.4975,81.9075,42.9695,519.66,20.3452,488.93
72.1689,32.995,9.605,4.109,12.302,45.336,25.2145,14.9041,0.1775,0.2098,0.1987,539.44,84.63,84.9975,85.365,82.395,83.475,81.8625,42.9747,519.63,20.3451,488.93
72.1176,32.99,9.604,4.093,12.302,45.498,25.264,14.9041,0.1772,0.2098,0.1985,539.44,84.6675,85.0275,85.3575,82.4175,83.5125,81.885,42.9799,519.6,20.3451,488.93
72.1163,32.99,9.602,4.077,12.302,45.528,25.3355,14.9041,0.1773,0.2097,0.1985,539.4,84.6225,85.0125,85.3425,82.3725,83.5275,81.87,42.9815,519.6,20.345,488.93
72.1151,32.99,9.601,4.085,12.303,45.528,25.385,14.9041,0.1776,0.2098,0.1985,539.4,84.615,85.065,85.3425,82.365,83.565,81.84,42.9869,519.57,20.3449,488.93
72.1138,32.99,9.6,4.107,12.303,45.402,25.4015,14.9127,0.1779,0.2098,0.1986,539.36,84.6675,85.0425,85.32,82.4025,83.5575,81.855,42.9924,519.54,20.3448,488.93
