LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TIC_1101.SV,TI_1145.PV
72.2577,32.995,9.59,4.173,12.305,45.786,25.561,14.9055,0.1783,0.2096,0.1984,539.48,84.6375,85.0425,85.2525,82.2525,83.49,82.08,42.9364,519.69,20.3416,520,488.99
72.2571,32.995,9.592,4.172,12.305,45.648,25.5005,14.9055,0.1784,0.2098,0.1986,539.44,84.5775,85.05,85.2825,82.2225,83.475,82.035,42.9414,519.66,20.3415,520,488.99
72.2564,32.995,9.596,4.169,12.305,45.414,25.396,14.9055,0.1784,0.21,0.1988,539.4,84.5475,85.005,85.2825,82.215,83.445,82.0275,42.9466,519.63,20.3414,520,488.99
72.2558,32.995,9.602,4.161,12.305,45.15,25.275,14.9055,0.1781,0.21,0.1989,539.36,84.57,84.975,85.275,82.2,83.4375,82.0275,42.9556,519.57,20.3414,520,488.99
72.2552,32.995,9.605,4.135,12.305,45.12,25.2035,14.9055,0.1774,0.2097,0.1985,539.36,84.6075,85.02,85.26,82.2,83.445,82.02,42.9573,519.57,20.3413,520,488.99
72.2546,32.995,9.602,4.087,12.304,45.486,25.2805,14.9055,0.1769,0.2094,0.1983,539.36,84.5925,85.05,85.3125,82.2075,83.46,82.0275,42.959,519.57,20.3412,520,488.99
72.2033,32.99,9.598,4.057,12.304,45.732,25.4015,14.9055,0.1769,0.2093,0.1981,539.4,84.6,85.1025,85.29,82.2225,83.43,81.975,42.9533,519.63,20.3411,520,488.99
72.2021,32.99,9.593,4.068,12.304,45.912,25.5115,14.9055,0.1773,0.2091,0.1979,539.44,84.57,85.0575,85.2975,82.2225,83.43,81.9975,42.951,519.66,20.3411,520,488.99
72.2008,32.99,9.589,4.104,12.304,46.08,25.6105,14.9055,0.1777,0.209,0.1978,539.52,84.6,85.095,85.3125,82.2075,83.4,81.975,42.9449,519.72,20.341,520,488.99
72.1996,32.99,9.585,4.144,12.304,46.194,25.6985,14.9055,0.178,0.209,0.1977,539.56,84.5625,85.095,85.2825,82.2075,83.43,82.02,42.9385,519.78,20.3409,520,488.99
