LRCA1101.MV,LRCA1101.PV,PDR1103.PV,PDR1106.PV,PDR1401.PV,PDRCA1109.PV,PDRSA1104.PV,PIC1101A.PV,PI_1132A.PV,PI_1180.PV,PR1102A.PV,TI1105A.PV,TIA2872.PV,TIA2873.PV,TIA2874.PV,TIA2875.PV,TIA2876.PV,TIA2877.PV,TIC_1101.MV,TIC_1101.PV,TIC_1155.MV,TI_1145.PV
72.1683,32.99,9.559,4.255,12.301,46.434,26.0505,14.8963,0.1787,0.2088,0.1975,540.28,84.585,85.125,85.17,82.35,83.5875,82.035,42.8821,520.47,20.3409,488.93
72.167,32.99,9.561,4.249,12.299,46.254,25.9955,14.8961,0.1787,0.2089,0.1977,540.28,84.615,85.155,85.185,82.38,83.5275,82.0275,42.8802,520.47,20.3408,488.93
72.2164,32.995,9.564,4.24,12.299,46.068,25.924,14.8958,0.1786,0.2091,0.1979,540.28,84.6375,85.1925,85.2375,82.35,83.55,82.005,42.8858,520.41,20.3408,488.93
72.2158,32.995,9.567,4.226,12.299,45.852,25.8305,14.8955,0.1785,0.2093,0.1981,540.24,84.6,85.1475,85.215,82.335,83.55,82.0425,42.8842,520.41,20.3407,488.93
72.2152,32.995,9.572,4.207,12.299,45.654,25.726,14.8952,0.1783,0.2095,0.1983,540.2,84.6075,85.14,85.1775,82.3575,83.58,82.0575,42.8938,520.32,20.3406,488.93
72.2145,32.995,9.577,4.185,12.299,45.39,25.5995,14.8949,0.1782,0.2098,0.1986,540.12,84.63,85.1775,85.17,82.4025,83.5425,82.0725,42.9,520.26,20.3405,488.93
72.2139,32.995,9.584,4.165,12.299,45.162,25.473,14.8947,0.178,0.2101,0.1988,540.04,84.6375,85.2075,85.1475,82.38,83.565,82.035,42.9177,520.11,20.3405,488.93
72.2133,32.995,9.591,4.143,12.299,44.88,25.3355,14.8944,0.1779,0.2103,0.1991,539.88,84.6,85.155,85.1475,82.3425,83.58,81.99,42.9361,519.96,20.3404,488.96
72.2127,32.995,9.599,4.122,12.298,44.79,25.198,14.9027,0.1776,0.2104,0.1992,539.76,84.645,85.14,85.125,82.38,83.5575,81.9525,42.955,519.81,20.3403,488.96
72.1614,32.99,9.605,4.092,12.298,44.688,25.099,14.9027,0.1773,0.2104,0.1993,539.6,84.6375,85.1025,85.185,82.3725,83.58,82.005,42.9708,519.69,20.3402,488.96
72.1601,32.99,9.611,4.063,12.299,45.522,25.0275,14.9027,0.1764,0.2096,0.1984,539.48,84.6375,85.1025,85.2,82.3425,83.625,81.96,42.9646,519.75,20.3554,488.93
72.1083,32.985,9.602,4.009,12.301,46.212,25.2365,14.9027,0.1758,0.209,0.1978,539.52,84.675,85.1325,85.215,82.335,83.61,81.975,42.9581,519.81,20.3558,488.93
72.1064,32.985,9.59,3.98,12.301,46.62,25.55,14.9027,0.1761,0.2085,0.1974,539.6,84.69,85.1625,85.26,82.335,83.6325,81.9375,42.94,519.96,20.3563,488.93
72.0539,32.98,9.579,4.026,12.301,47.028,25.836,14.9027,0.1769,0.2082,0.197,539.76,84.675,85.1775,85.3125,82.38,83.655,81.945,42.9252,520.08,20.3414,488.93
72.102,32.985,9.567,4.111,12.301,47.316,26.0835,14.9027,0.1777,0.2079,0.1967,539.88,84.645,85.1475,85.3425,82.395,83.6625,81.9375,42.9023,520.26,20.3413,488.93
72.1002,32.985,9.557,4.193,12.301,47.514,26.2925,14.9027,0.1784,0.2078,0.1965,540.04,84.6225,85.155,85.35,82.35,83.685,81.9675,42.8825,520.41,20.3412,488.93
72.1489,32.99,9.548,4.253,12.301,47.598,26.4465,14.9027,0.1788,0.2076,0.1964,540.2,84.66,85.1625,85.305,82.3125,83.685,81.975,42.8583,520.59,20.3412,488.93
72.1983,32.995,9.542,4.291,12.301,47.598,26.5345,14.9027,0.179,0.2076,0.1964,540.4,84.69,85.155,85.2825,82.32,83.655,81.9525,42.8371,520.74,20.3411,488.93
72.1976,32.995,9.538,4.315,12.301,47.532,26.5675,14.9027,0.1792,0.2077,0.1964,540.56,84.72,85.1175,85.29,82.335,83.655,81.99,42.8153,520.89,20.341,488.96
72.2477,33,9.535,4.327,12.301,47.424,26.573,14.9027,0.1793,0.2078,0.1966,540.72,84.7575,85.1325,85.335,82.32,83.6625,81.945,42.8004,520.98,20.3409,488.96
72.2983,33.005,9.533,4.33,12.301,47.28,26.551,14.9027,0.1793,0.2078,0.1967,540.84,84.78,85.1625,85.305,82.2825,83.6175,81.9525,42.7814,521.1,20.3409,488.96
72.2989,33.005,9.534,4.326,12.301,47.118,26.5015,14.9027,0.1792,0.2081,0.1969,540.92,84.7575,85.11,85.2975,82.2675,83.6175,81.9375,42.777,521.1,20.3408,488.96
