FI1127,FRCA1110,LRCA1101,PDRSA1104,PI1132,TI1105,TI1145,FRC1424,TI1142,DR1106
600,11.1209,32.9,26.584,0.1274,541.16,490.49,4.61,519.14,57.6375
600,11.1214,32.9,26.573,0.1275,541.12,490.49,4.6075,519.14,57.6
600,11.1183,32.9,26.562,0.1275,541.08,490.49,4.6075,519.14,57.5625
600,11.1176,32.9,26.551,0.1275,541,490.49,4.6075,519.14,57.5625
600,11.1169,32.9,26.5345,0.1275,540.96,490.49,4.6075,519.14,57.5625
599.94,11.12,32.9,26.518,0.1275,540.92,490.49,4.6075,519.14,57.5625
599.94,11.1206,32.895,26.5015,0.1275,540.88,490.49,4.6075,519.14,57.525
599.94,11.1212,32.895,26.496,0.1275,540.84,490.46,4.6075,519.14,57.5625
599.94,11.1217,32.895,26.485,0.1275,540.8,490.46,4.605,519.14,57.6
599.94,11.1193,32.895,26.485,0.1275,540.76,490.46,4.605,519.11,57.6
599.94,11.1189,32.895,26.474,0.1276,540.72,490.46,4.605,519.11,57.525
599.94,11.1185,32.895,26.4575,0.1276,540.68,490.46,4.605,519.11,57.525
599.94,11.1211,32.89,26.441,0.1276,540.64,490.46,4.605,519.11,57.5625
599.94,11.1216,32.89,26.4245,0.1276,540.6,490.46,4.605,519.11,57.6
599.94,11.1222,32.89,26.408,0.1276,540.56,490.43,4.605,519.11,57.5625
599.88,11.1198,32.89,26.4025,0.1276,540.52,490.43,4.6025,519.08,57.5625
599.88,11.1194,32.89,26.397,0.1276,540.48,490.43,4.6025,519.08,57.5625
599.88,11.1189,32.89,26.3915,0.1276,540.44,490.43,4.6025,519.08,57.525
599.88,11.1223,32.885,26.3805,0.1276,540.4,490.43,4.6025,519.08,57.5625
600.06,11.1231,32.885,26.364,0.1277,540.36,490.43,4.6025,519.08,57.5625
600,11.1239,32.885,26.3475,0.1277,540.32,490.4,4.6025,519.05,57.5625
600,11.121,32.885,26.3365,0.1277,540.28,490.4,4.6,519.05,57.5625
599.82,11.1206,32.885,26.32,0.1277,540.24,490.4,4.6,519.05,57.525
600,11.1202,32.885,26.3035,0.1277,540.2,490.4,4.6,519.05,57.6
600,11.1198,32.885,26.287,0.1277,540.16,490.4,4.6,519.05,57.5625
