TIA1160A.PV,AR1410B.PV,DR1107.PV,FRCA1112.PV,FI1112.PV,WRA1103.PV,WR1104.PV,PI_1180.PV,CCSFIC1401.PV,TIC_1155.PV
184.015,86.025,286.8975,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.5,286.92,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.325,286.65,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.575,287.37,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.35,287.2125,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.175,287.19,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.925,286.6275,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.45,287.2575,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.7,287.28,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.875,287.1225,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.95,287.3025,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.1,287.3475,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.225,287.0775,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.025,286.5825,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.975,287.46,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.2,287.1225,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.35,287.0325,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.2,287.055,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.5,287.1675,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.825,286.8525,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.125,286.5375,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.875,286.6275,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.675,286.875,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.925,287.505,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.1,287.3025,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.2,287.1225,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.075,286.7625,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.775,286.74,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.2,287.0325,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.675,287.3475,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.225,286.695,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.375,286.9425,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.575,286.875,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.1,286.56,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.575,287.19,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.65,287.01,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.575,286.9875,3000.0,3000.0,148.6687,145.695,0.2082,186263,590.07
184.015,86.925,286.56,3000.0,3000.0,148.6687,145.695,0.2081,186263,590.07
